eventId,eventTitle,eventFire,eventExplicit,eventAlcohol,eventHumanLocation,eventDays,eventDescription
event097,Drop-in Theatrical Readings,,,,"Gothee House | Site 111, 112, 113","Thursday, Friday, Saturday","We're going to try something we call ""Drop-in Theatrical Readings"" -- visitors to our cafe (i.e. you!) will read aloud the lines for the characters in a play. Actual acting not required; hamming it up is optional but fun. Stay as long as you want! You can stay for the entire play or just move on someone else can take over your part. This event does not have a scheduled time -- we will host these sessions whenever we feel like it. ;p"
event098,Drug Information Booth,,,,SafeT Camp | Site 130,"Wednesday, Thursday, Friday, Saturday",Say Know to drugs! SafeT Camp's drug information booth provides crucial harm reduction services and information to make sure you and your friends have the best experience possible at Lakes. Unsure about a substance? Want to have it tested so you know for sure? Want to learn how to reverse and recognize an opioid overdose? Or how to test for fentanyl? Come visit us at the booth! Don’t have time to visit the camp? Keep an eye out for our roving outreach teams.
event099,Drug Set &amp; Setting: How to Have a Good Psychedelic Journey,,,,SafeT Camp | Site 130,Thursday,Learn how to increase pleasure and reduce harm around substance use by building intentionality within this substance use management framework. Have fun don’t die!
event100,Early Bird Special: Pancakes!,,,,Early Retirement @ Tahitian Isles Village | Site B45,"Friday, Saturday",It’s before 5 o’clock somewhere! Catch a worm and grab some pancakes. BYO plate &amp; utensil.
event101,Elixir of the Green Faerie,,,Y,"Gothee House | Site 111, 112, 113","Thursday, Saturday","Come share our Absinthe Ritual. We have two kinds of imported Spanish absinthe containing Thujone (one of the active ingredients in wormwood) and an artisanal absinthe fountain made by Shae. Your absinthe ritual will take 10-15 minutes when your hosts are sober, and longer when they are not. Absinthe is traditionally sipped and the ritual is accompanied by discussion and merriment. We will also be serving the Midnight Rose, our signature absinthe cocktail. Van Gogh used to drink absinthe because it was the cheapest, strongest drink available. Who knows why he cut off his ear?"
event102,Event First Aid,,,,"ESD Medical Tent | Site 45, 46, 47",Friday,"Learn how to unfuck yourself. From your physical ailment to you psychological tangles, come to the med tent and learn how to triage your own shit."
event103,Everyone Loves Cat Butt-ons,,,,9 Lives Club | Site K17,Thursday,"Sit your tail down and join our cat butt-on making party Thursday 4:20-6:20pm. Come enjoy some ""catnip"" and good vibes. Pictures and button supplies will be provided. Our human-sized cat play area and lounge is also available all day, every day for Burners to enjoy."
event104,experimental aural performances,,,,Expectation Free Zone  | Site K14,"Friday, Saturday","Transmute your expectations into raw experiential substance through our experimental aural performances. These will be scheduled and impromptu live performances of expansive, spacey, strange, occasionally groovy, transdimensional music presented on the four-channel surround-sound system in the Expectation Free Zone. Musicians from our camp will perform, and we will invite, beforehand and impromptu, other musicians and sound artists in the LoF community to perform."
event105,Exploring Your Body Through Movement with Cho Cho,,,,"Tahitian Isles: Funky Tiki Teahut Dome | Site 4, 5, 6",Saturday,Come join me in exploring your body through movement. I will take you on a journey where you have permission to move and express yourself through guided movement in a safe space. We will explore movement individually and as a group. If you are learning to move your body or you love moving your body come have fun and explore what your body has to offer.
event106,Face Painting,,,,"Camp Natural Weener | Site 25, 26","Wednesday, Thursday, Friday, Saturday","Sit back and have your face painted by artists, baby burners, or create your own expressions!"
event107,Fancy Flavor Soda Gifts,,,Y,"Lux Ephemera | Site 67, 68","Wednesday, Thursday, Friday, Saturday, Sunday","Just as we did last year, when our camp is ""open"" for performance or ambient music, our bar will be open and our bartenders will happily fill your cup with a fancy flavored soda of your choice. all sodas are made with carbonated water and home-made organic flavor syrups. there are too many exciting flavors to list here, you simply must come and try one to find out! These are available with and without alcohol so all lakes of fire participants (which can freely consume SUGAR) can partake in a cup, even late night! WE LOVE YOU!"
event108,Fi-Bar,,,,Early Retirement @ Tahitian Isles Village | Site B45,"Friday, Saturday",Join your fellow retirees and celebrate your freedom from work with a refreshment that’ll keep you regular.
event109,Figure Drawing &amp; Acoustic Jams,,Y,,"Boogie Woogie Cabaret | Site 39, 40, 41","Thursday, Friday",Chill out to music and draw nekkid folk in a yurt! Some drawing materials will be provided but feel free to bring your own.
event110,Fire Circle,Y,,,"Capn Nemo’s Flaming Carnival | Site 56, 57, 58, 59","Thursday, Friday","Oh no, my flow toy caught on fire! Must be the Fire Circle at Nemo's!"
event111,Fire Dancer Safety Training,Y,,,The Playground | Site 134,"Thursday, Friday","Join us to review fire safety for both public performance and specifics for Lakes of Fire. This class covers fire safety protocol as endorsed by the National Fire Artists Association. We teach everything from proper safety techniques, costuming, how to communicate with authorities, &amp; the importance of sobriety. Attending one of these classes is mandatory if you would like to perform in a conclave. If you have taken one of our safety training courses in the past 3 years, please return to learn some new information."
event112,Fire &amp; Flames for Families &amp; Friends,Y,,,"Capn Nemo’s Flaming Carnival | Site 56, 57, 58, 59","Thursday, Saturday","Come one, come all, come carnies big and small! See the Midway in the light of day! Fun and games for all to play. Prizes will be available at RAR RAR's pop up prize booth. Don't worry, we brought BIG bubbles!"
event113,Fire Flower : Live Performance,Y,,Y,"Lux Ephemera | Site 67, 68",Thursday,"Come witness the spectacle that is fire flower. do it. they have electronically manipulated throatsounds and liprips, and a flaming trumpet. who doesn't love that? J-Rose and Sheriff Phoenix will be taking the stage and your attention for sure. be here."
event114,Fire Show,,,,Green Dragon Lounge | Site K2,Thursday,Come see the hottest scene on the lake!
event115,Flame Effects Inspection Training,,,,FAST Headquarters | Site FAST HQ,"Thursday, Friday","If you're interested in building or inspecting flame effects, join us to learn about what FAST looks for and, as important, why! This class will consist of about an hour of discussion at the picnic table, followed by visiting some nearby flame effects. This class is required prior to shadowing flame effects inspection. (If you took it last year, you can join for a refresher, but it's not required.)"
event116,Flask First,,,Y,"Valhalla! | Site 89, 90, 91","Wednesday, Thursday, Friday, Saturday","The Vikings of Valhalla are upping their game this year. The Flask First bar will be serving up home brewed mead, beer, glogg, and other beverages of choice as well as a sumptuous selection of homemade/smoked/cured sausages, bacon, and various meats. Stick around long enough and you're certain to be regaled by tales of the Norse gods from one of our famed storytellers, or pull a chair up and share your own story."
event117,Floating Kraken Kreamery,,,Y,"Syncytium | Site 98, 99, 100, West Field",Thursday,Frozen Kraken Kreamery will be taking over the Syn Bar and serving up hand made floats of both the alcoholic and sober varieties. Come say hi and get your chill on.
event118,Flow of Cthulhu,Y,,,"Camp One More Thing | Site 119, 120, 121","Wednesday, Thursday, Friday, Saturday",Pay tribute to the Elder Gods on a small performance stage available for anyones use. Come spin/dance/talk/ or whatever it is you do to showcase your craft! This is Fire friendly!! Please bring your own safety &amp; equipment including but not limited to props &amp; gas.
event119,Frrozen Kraken Creamery,,,,At your camp or randomly on the road. | Site Lucky Lake,"Wednesday, Thursday, Friday, Saturday",We'll be making daily trips around Lucky Lake slinging creamy goodness for your throat holes.
event120,Funs Out Buns Out,,,Y,"Thumper | Site 17, 18",Friday,Thumper DJs and Special Friends. Full bar all night. Weenies by chance.
event121,Gamblers Not-So-Anonymous with FrickFack Blackjack,,,,Art in the Pines | Site G,"Thursday, Friday, Saturday, Sunday","Join us each and every day starting *around* 6 PM for exciting rounds of Frick Frack Blackjack. Remember, this is a NO cash NO limits blackjack experience. Bring only your silliest and most whimsical items to the table. Please refrain from betting MOOP, nobody wants your trash. The more unique your item, the better the deal. All bets are final! To locate us,Find South Side we are position C inside Cap'n Nemo's Flaming Carnival(56-59)."
event122,Gaming with the Gods,,,,"Sphinx Beer Garden | Site 60, 61, 62","Wednesday, Thursday, Friday, Saturday, Sunday",Stop in any time to join a table or yard game of your choice. Table games will be under the tent and yard games by the bar; come while away an hour in play!
event123,Get Fancy and Dancy! The SGC Afterburn Party,,,Y,"Secret Gentleman's Club | Site 92, 93, 94, 95, 96",Saturday,Swing on by the SGC stage and continue your burn night with a dance party featuring the fanciest libations and the danciest music that our gentlemen can provide!
event124,Ghost Stories With Milk and Cookies,,,,Experimental Family Tree  | Site K9,Thursday,"Bring your spookiest, scariest, most macabre, or horrifying tale to share around the glowing tree (the Shiny Seed). Settle in to hear spooky stories with milk and ghost cookies. (We will provide plant-based milk and vegan cookies)."
event125,Global Booty Dance Class,,,,"Tahitian Isles: Funky Tiki Teahut Dome | Site 4, 5, 6",Thursday,"Dress in your most colorful gear and get ready to Move It, Move It! Come dance and shake your BOOTY around the world with Sirene De Paradis. Freakeasy's lil darling resident dancer will be hosting a high energy dance class while tuning you to awesome dance music from around the global. NO EXPERIENCE REQUIRED/Make sure you stay hydrated throughout the class."
event126,Goblin Masquerade and Goth Karaoke,,,,"Gothee House | Site 111, 112, 113",Thursday,"Come swirl the night away Thursday evening in your Unseelie finest and join Gothee House for a Goblin Masquerade Ball. Goblins, fairies, kidnapped babies and muppets -- create dance magic under the stars. Not sure what to wear? Join us earlier in the day Wednesday and Thursday to make a masquerade mask. We will also have a curated selection of goth-friendly karaoke songs for any extra adventurous souls."
event127,Gothee House Coffee,,,,"Gothee House | Site 111, 112, 113","Wednesday, Thursday, Friday, Saturday","Coffee has long been a staple of Gothee House. We will once again be providing that wonderful energy elixir. We'll have hot- and cold- brewed coffee like previous years. This year, whenever we feel like it, we're also going to be serving coffee to you, sit-down style. Please come and relax in the goth faerie cafe!"
event128,Goth Night Happy Hour,,,,Green Dragon Lounge | Site K2,Thursday,Get your vamp on here.
event129,Goth Pride Night,,,Y,Bikes and Brews | Site K3,Thursday,"All black (no darkwads) or rainbows, who cares. Let's get moody as fuck and a lil' dark. Props for clove's and dispair."
event130,Green Dragon Lounge Happy Hour,,,,Green Dragon Lounge | Site K2,Friday,Come meet the happiest dragons around the lake!
event131,Green Dragon Lounge Late Night Party and Fire Show,,,,Green Dragon Lounge | Site K2,Saturday,"Green Dragon Lounge Late Night Party and Fire Show, featuring Doktor Dragon’s Fubarus. How far does this rabbit hole go? There is only one way to find out!"
event132,Green Fairy Seed Library,,,,"Boogie Woogie Cabaret  | Site 39, 40, 41","Wednesday, Thursday, Friday","A library of seeds and fountain of knowledge for green-inspired burners. You can take or deposit seeds, either way we'll help you sow your wild oats. A small selection of live plants will be available."
event133,Guatemalan Worry Dolls,,,,"Odditorium | Site 19, 20, 21",Friday,"Worry dolls, muñecas quitapenas, originate from an ancient Mayan legend about a princess who was gifted the ability to ease human worries by the sun God. The tiny dolls are made to represent princess Ixmucane with traditional Guatemalan fabrics. Guatemalan children whisper their worries to the dolls and tuck them under their pillows at night so that they can sleep easy. By the morning, the worry dolls will grant them the wisdom they need to eliminate their worries. Come join me and make your own worry doll to ensure sound sleep! No materials or skills necessary."
event134,Hair of the Dog Bloody Mary Minis,,,Y,"Drink, Bitch. | Site 109",Friday,"Come get a shooter of homemade Bloody Mary! If you are nice (or naughty) we may serve them to you WI style with meat sticks and other delicious decorations. We provide paper shooter cups, to dispose of at our camp or yours. Serving with attitude until we run out. (PS: They have electrolytes! )"
event135,Hangover Cure Cocktails with The Witches,,,Y,Nail Witch &amp; Timmy the Oracle  | Site K19,"Thursday, Friday, Saturday","Meet us on the eastern edge of the Keyhole and walk Widdershins around what ails you with a Grimoire Shot: a pungent, herbal hangover cure by Nail Witch. A verdant tincture of aromatic and soothing mint and herbs is sure to ease indigestion and take the edge off of a bitter hangover. In the mood for something bold and sweet? Try a Detroit Sunrise concocted by Red Witch. ♥"
event136,Happy Hour at Firewater Lounge!,,,Y,Firewater Lounge | Site B,Friday,"Come and get happy with the Firewater Lounge! Cocktails, fancy snacks and games for everyone. Pre-party with us before your night gets crazy!!"
event137,HaRmOniZiNg WhOLeNeSs ~ SoUnD hEaLiNg,,,,Intergalactic Art Movement (IAM) | Site 70,"Wednesday, Thursday, Friday, Saturday, Sunday",11:11
event138,Haunting Crystal Bowl Concert,,,,Gypsy Wolves | Site K20,"Wednesday, Thursday, Friday, Saturday",Crystal Bowl Concert. Let the haunting melodies and soothing sounds of an array of Crystal bowls transport you to another world!
event139,"Have a ""Soul Cake""!",,,,Around the Path | Site Lucky Lake,,Ancient Celts and Otherworld beings come to life and travel the lake to offer gingerbread soul cakes to one and all! Times will be random throughout the day.
event140,Head Rubs and Healing,,,,Experimental Family Tree  | Site K9,"Thursday, Friday","Stop by the Shiny Seed for head rubs, possible bodily or soul adjustments. Relax and meditate under our metal tree."
event141,"Headstands, Handstands and Forearm Balances OH MY!!",,,,"Capn Nemo’s Flaming Carnival | Site 56, 57, 58, 59",Saturday,Come out and learn the basics of headstands handstands and forearm balance with Hardware and Jadey Bird. No experience required. We will meet you where you’re at. A reasonable level of personal fitness and flexibility is required and expected.
event142,Herding Cats Tea Time,,,,9 Lives Club | Site K17,"Thursday, Friday, Saturday","Fuse with fellow feline-friendly foragers while enjoying hot and cold tea served with whisker-licking vegan snacks. Visitors encouraged to BYOCup. Our human-sized cat play area and lounge is also available all day, every day for Burners to enjoy."
event143,Hey There Fancy Pants!,,,,"Tahitian Isles: Funky Tiki Teahut Dome | Site 4, 5, 6",Friday,A Transdermal Celebration at The Funky Tiki Teahut- It's a fancy pants competition and dance party!
event144,High Tea,,,,Green Dragon Lounge | Site K2,"Thursday, Friday, Saturday",Hatters and others are welcome to join us for the highest tea around the lake.
event145,Hip Hop Night,,,Y,The Phase | Site 69,Thursday,"I said a hip hop the hippie the hippie To the hip hip hop and you don't stop The rock it to the bang bang boogie Say up jump the boogie to the rhythm of the boogie, the beat at The Phase"
event146,Honeydukes Magical mischief,,,Y,Honeydukes  | Site 84,Friday,"Come join us for a magical evening filled with candy, crafts, and unique drinks! We will be making chocolate frogs, crafting flying keys, and revealing our flaming and sparkling drinks!"
event147,Huamanamated Photo Booth,,,,Experimental Family Tree  | Site K9,Wednesday,"A playful, lighthearted photo booth area with costumes and a custom backdrop. Sketch artists of varying abilities will present you with a stunning keepsake drawing."
event148,Hurricane Party,,,Y,Still Bayou | Site 37,Thursday,The storm is blowing in and hurricanes are scary. Ride out the storm with a Hurricane Party at Still Bayou. Serving Hurricanes and Humor.
event149,I don't Funkin' know,,,Y,The Phase | Site 69,Wednesday,Come help Starchild and Dr. Funkenstein find the mythical Flashlight and save the universe from the Cosmic Slop of Sir Nose. The Mothership lands at The Phase.
event150,Infinity Crystal,,,,Green Dragon Lounge | Site K2,"Wednesday, Thursday, Friday, Saturday","Once the sun sets, the Infinity Crystal springs to life! Come gaze upon these objects that appear larger on the inside."
event151,Irie Friday,,,Y,"Thumper | Site 17, 18",Friday,"Wa gwan rasta? Reggae, dub, jerk chicken wings, bloody marys, other grill treats. Respect."
event152,"Is this Vegan, The Potluck",,,,Camp Pity Party | Site K22,Friday,"Poor vegans... Come to Camp Pity Party for a delicious distraction from your woes and some communal commiseration. Bring a vegan dish to share along with your plate and cup. As always, no advice will be served. Vegans and non-vegans welcome."
event153,JCSpaceRadio Frequency Workout,,,,Expectation Free Zone  | Site K14,Friday,"A movement-based class in which participants use tones and rhythms to create unique physical responses in a facilitated environment. Using inner sensation of gravity, movement within the body, and awareness of the space and other bodies, participants begin to tune their perception to vibration, frequency, and resonance. All are welcome! Come dance and play with the feeling of sound!"
event154,Jingles Emporium,,,,Pleasure House | Site E,"Wednesday, Thursday, Friday, Saturday, Sunday","Jingles Emporium returns this year providing those necessary and hard-to-find items. It will have on hand cigs, lighters, tp, antacids, tampons, floss, water, gum, and more! Look for the baby trailer at Pleasure House. Open 24 hours a day, 7 days a week. The Emporium is a panda friendly establishment."
event155,J-Rose: Live Performance,Y,,Y,"Lux Ephemera | Site 67, 68",Sunday,J-Rose hisself will come by to take the stage and sound system over for an hour or so... Have you witnessed this yet? this will be fun. come by to see this guy. you will not regret that choice. he makes sounds with his mouth and manipulates those sounds with a machine. it is totally rad.
event156,Just The Juice Pickleback Party,,,Y,The Slippery Pickle | Site K8,Friday,Picklebacks and good times! Join the Slipperiest of Pickles and their dog as we drink the bar dry so we can be free for the Burn. Open until we run out of booze.
event157,Karen's Cabaret Cabaret,,,,Karen's Cabaret | Site 128,Friday,"Join our variety entertainers for amazing evening of cabaret performances, fine cocktails, delicious hors d'ouvres and maybe even a surprise or two. Will there be fire? Will there be flying ladies? Will there be nipples? Join us and find out!"
event158,Karen's Happy Hour,,,Y,Karen's Cabaret | Site 128,"Wednesday, Thursday, Friday, Saturday","Join our cabaret lounge for a few drinks to shake off the dust of a weary day napping in the sunshine. We will be serving craft cocktails and hors d'ouevres, possibly while scantily clad. Each day brings a new menu! Get it while supplies last."
event159,Kenny &amp; Benny Interdimensional Cultural Exchange,Y,,Y,"Burnlesque Presents | Site 63, 64, 65, 66",Thursday,"A variety show featuring participants from the lakes of fire community. An interactive experience involving audience participation and interdimensional frequencies including: burlesque, fire spinning, music, comedy, dance, and things yet seen in this dimension. Please join us to witness all that these dimension have to offer."
event160,Kids Costume Mini Golf Social,,,Y,The Country Club | Site 22,Friday,"Two hours of kid friendly mini golf. With prizes, drinks and snacks for the kid in us all. Also fancy drinks for adults. Come bring your best costume for trick or treating. Lowest score gets an invite to participate in the Great Lakes Miniature Open tournament."
event161,Kimono Dragons,,,Y,Kimono Dragons | Site H,"Thursday, Friday, Saturday","Put on your favorite Kimono and join us for some Oriental Fun! The Kimono Dragons Oriental Paradise complete with Bar serving hot &amp; cold Sake and punch of the day, Fortune Cookies, Karaoke, Join us for our Egg Roll feast on Saturday @ 1 pm"
event162,Kink Party,,Y,,Pleasure House | Site E,Friday,"The Pleasure House will be Transforming our Play Space into a Dungeon for a few hours to RELEASE THE KINK in you at our Kink Party. This year the Pleasure House will have lots of New and Old Equipment for you to have fun with. Be sure to wear something kinky and bring you, your partner, your pet or even your Slave to this HOT EVENT ! ! ! There will be lots of ""Consent ONLY Play""."
event163,Kitty's Bad Tarot Readings,,,,Kidsville / Roaming Around the Path | Site K24 / Lucky Lake,"Wednesday, Thursday, Friday, Saturday","The Mystical and Amazingly Psychic Kitty will read your tarot cards with great confidence! With a tarot deck featuring stick figure artwork and cards magically produced for this event, your fortune is in good paws! Look for this shady cat-eared individual around Kidsville or roaming around during daylight hours."
event164,Lakes of Fire 2019 Cuddling Championships,,Y,,Green Dragon Lounge | Site K2,Friday,"Do you have what it takes to be a cuddling champion? Contestants will be evaluated by a team of highly qualified judges in categories including cuddling entree, architecture, technique, endurance, and denouement. Bring us your best! Awards will be given at the conclusion of the event. Consent first, no sex. We’re professionals here."
event165,Lakes of Fire Newbie Orientation,,,,Green Dragon Lounge | Site K2,"Wednesday, Thursday, Friday","Do you have questions about Lakes of Fire or the Burning Man community in general? Well then, stop by the Green Dragon Lounge Wednesday, Thursday or Friday at 6:15 p.m. Your Greeter leads will be available to answer all your questions. There might even be some sweet swag for inquiring newbies."
event166,Lakes of Fire Pronoun Project,,,,Greeter's Station | Site Lucky Lake,"Wednesday, Thursday, Friday, Saturday","Lakes of Fire is dedicated to taking a more inclusive stance by acknowledging gender diversity at our event. By allowing individuals to represent themselves with their preferred pronouns, we can establish authentic and personal connections right from the start. Stop by the Greeter's station anytime while gate is open and pick up a pronoun button. You will be able to write your preferred pronouns on the button and wear it throughout the event. We encourage all gender identities to participate in order to provide an inclusive environment for everyone."
event167,Lakes of Fire Volunteer Appreciation Party,,,Y,"Syncytium | Site 98, 99, 100, West Field",Friday,"Are you an LOF Volunteer who is serving with an official dept this year? Come down on Friday the 14th from 4p-6p and get your bellies a burger, your souls moving and your bodies healing. Grilling the usual fare- Burgers, Hot Dogs...you know the drill. There will be healers onsite as well to help your achy bodies get some soothing from all of that volunteering you've been doing. &lt;3 Ever so extra special Thank you's to Syncytium and crew for hosting and mosting the best ever! xoxo -Volunteer Dream Team!"
event168,Learn How to Juggle,,,,"Odditorium | Site 19, 20, 21",Thursday,"A one hour workshop on how to learn the basic juggling pattern, the cascade. All levels welcome. Props available for use."
event169,Learn to screen print at The Factory,,,,"Odditorium | Site 19, 20, 21","Thursday, Friday, Saturday","Come, learn how to screenprint, and then become the means of production yourself. Once you’ve completed one of our daily trainings, you’ll be free to use the studio however you please. We’ll have everything you need to make you, your friends, and everyone standing nearby something beautiful."
event170,LGBT Meet &amp; Greet Mixer,,,Y,Pleasure House | Site E,Thursday,"Join us at The Pleasure House for an LGBT friendly Meet &amp; Greet on Everyone is welcome to attend this Meet &amp; Greet, but this is how we at The Pleasure House want to help our LGBT friends out there feel loved and accepted. This event was very popular last year and we are happy to bring it back this year. Be sure to stick around for Spanks and Dranks too during this event !!!"
event171,Lost in Paradise Walking Tour,,,,Bermuda Triangle Travel Bureau | Site D,Wednesday,Prefer getting lost as a group? Join the expert tour guides of the Bermuda Triangle Travel Bureau as we explore uncharted territories and alien landscapes at Lakes of Fire! What unknown treasures will we unearth? (Departing camp by 7:30)!
event172,Lost Key Finding,,,,Bermuda Triangle Travel Bureau | Site D,"Thursday, Friday, Saturday","Lost items sometimes surface in strange places. Keys, in particular, seem just as drawn to the Triangle as boats and planes, and more keep emerging from our shipwreck. Come claim your own lost key, fashion it into a reminder that you survived the Bermuda Triangle Travel Bureau, and see what it unlocks. No metal detectors required!"
event173,Lost Luggage Mini Bar,,,Y,Bermuda Triangle Travel Bureau | Site D,"Thursday, Friday, Saturday","Play a game of chance to pick from in-flight swag, snacks, and drinks, served up by the crew of the Bermuda Triangle Travel Bureau! Our suitcase finally washed up with the tide, with all the goodies still inside (plus a few critters of the sea)."
event174,Lounge Night!!!,,,Y,Firewater Lounge | Site B,Thursday,"Come and chillax with your friends at the Firewater Lounge. We will have music, fancy snacks and cocktails to share for this fun and easy lounge night. FAIR WARNING: This could easily turn into karaoke night."
event175,Magical Turtle Metacine presents: Taco Castle Turtlesday,,,Y,"Lux Ephemera | Site 67, 68",Thursday,"Turtlesda... I mean, Thursday evening will find A Nonsense Man and his best friend Fracktyl The Magical Turtle singing songs and telling tells of wonderful views and magical spells. come at least slightly hungry because we will be serving tacos to all who want one! that's right! TACOS."
event176,Magic: The Gathering - Sphinx’s Booster Draft,,,,"Sphinx Beer Garden | Site 60, 61, 62",Friday,The Sphinx brings you a Magic booster draw with the Amonkhet deck. There will be space for eleven contenders to do battle with a gifted set! Sphinx Eric will be hosting War of the Spark.
event177,Mailbox to the Future,,,,Entrance to the Keyhole | Site Lucky Lake,"Wednesday, Thursday, Friday, Saturday, Sunday","If you can get past the aliens, fill out a postcard and mail it to your future self, who will receive it one year from now."
event178,Make and mail a pop-up card,,,,Camp Evolutionary Illumination | Site 42,Friday,Come make a pop-up Summerween or LoF greeting card - great for gifting! We'll also have a post office where you can mail your card. Check out Robert Sabuda's DIY pop-up cards at http://wp.robertsabuda.com/make-your-own-pop-ups/. Send some LoF love home from camp EVIL.
event179,Make your bike not suck (Bike maintenance for Beginners),,,,Bikes and Brews | Site K3,"Thursday, Friday",Running through the ABC's of the pre-ride checklist and basic bike maintence. Tire changes and other common problems can be handled by one of our HIGHly trained mechanics.
event180,Maritime Lounge of the Sargasso Sea,,,,Bermuda Triangle Travel Bureau | Site D,"Thursday, Friday, Saturday","Got the doldrums? Take a break in the calm, blue waters of our ocean gyre - the peaceful eye of the burn hurricane. No waders required! (This sea resides inside a bell tent)."
event181,Mask Decorating,,,,"Gothee House | Site 111, 112, 113","Wednesday, Thursday","We will be hosting a Goblin Masquerade on Thursday night. We have paper masks and art supplies, so stop by and make a mask for the Masquerade!"
event182,Meet the Genies of the InGenieous Lamp,,,,"InGenieous at Odditorium | Site 19, 20, 21","Wednesday, Thursday, Friday, Saturday, Sunday",Ever wished you could find a magic lamp with a genie or 2 inside to grant your heart's desire? Well now you can! Come on over to Odditorium and visit the Genies of InGenieous to experience our Magic and discover your own!
event183,MIdnight coneys,,,,"ESD Shot Clinic | Site 45, 46, 47",Saturday,coney dogs for our hunger midnight burners
event184,Mini triathlon,,,,Effigy | Site Lucky Lake,Friday,"First! SWIM across the lake from the effigy to the north beach (most of the water is less than 5ft deep) Then! RUN 1 lap around the lake ~1/2 mile Last! Find a BIKE to ride 1 lap at our speed limit (rules to follow) (and shit, if you can't find a bike you have to run again) ~1.1 mile Prizes for all participants: banana trophies, LoFTri jerseys and finisher medals!"
event185,Miracle Fruit Party,,,,Green Dragon Lounge | Site K2,"Thursday, Saturday",Amaze your senses and alter your perceptions! Synsepalum dulcificum transforms sour into sweet.
event186,Monster Mash,,,Y,Experimental Family Tree  | Site K9,Wednesday,"Join us for Summerween-themed music, dancing, and much more! Compete in our donut-on-a-string eating and limbo contests for glory and prizes. Spontaneous tarot readings and artistic portraits at our Huamanamated Photo Booth. Red Rum punch, Bat’s Blood jello shots and spooky snacks!"
event187,Monster Mash Dance,,,Y,Safe Zone | Site 114,Friday,Bring your best costumes and dance your heart away. Safe Zone will have their bar open to friends for the first time and we hope you will come celebrate with us in our awesome space. Check out our Art Projects and have some spooky monster drinks. Halloween Jams included.
event188,M.O.O.P Bag Tutorial &amp; Decoration,,,Y,LoF Yacht Club | Site 38,"Thursday, Friday","Have you always wanted to learn the magical Art of making MOOP bags? Now is your chance! At DrinknStitch's Happy Hour we will show you a fast, easy method so that you too, can make your own at home with your sewing machine. If you bring a MOOP bag with you, there will be a table of supplies for you to decorate it."
event189,Morning Yoga Flow,,,,"The Closet Fort Kingdom | Site 23, 24","Thursday, Friday, Saturday",Join us in the Kingdom to get your morning started right! Our Yoga experts will be leading a relaxing yoga flow to loosen up those muscles and get them ready for another night of adventurous fun!
event190,Moth Meet-up,,,,"Odditorium | Site 19, 20, 21",Thursday,"MOTHS! Hooked on Lamp? Flutter on over to Odditorium for your fix! We have all the lamps, even a big one! Also, BYOLamp, because more LAMP! All inclusive moth meetup: butterflies and fireflies welcome. It's gonna be lit!"
event191,Murica Party,,,Y,Camp Not Sure - Nun of your beeswax | Site 107,Saturday,MURICA! Home of the Red White &amp; Blue. Stop by for some good ol' classic American Rock while having a few classic preservative treats &amp; drinks.
event192,Mycology 101,,,Y,Experimental Family Tree  | Site K9,Thursday,Are you interested in growing mushrooms? Learn how to cultivate delicious and nutritious shrooms with a seasoned mycologist!
event193,Mysterious Mysteries Story Share,,,,Bermuda Triangle Travel Bureau | Site D,Friday,"Tell us your creepy and powerful tales - whether tall or small - about ghosts, conspiracies, aliens, cryptids, and experiences that defy explanation. Join the crew of the Bermuda Triangle Travel Bureau for snacks of the sea, triangular foods, and spooky stories!"
event194,Naked IDentity model and artist Q&amp;A,,,,"Boogie Woogie Cabaret | Site 39, 40, 41",Friday,Come meet the models and the artist behind Naked IDentity! There will be a Q &amp; A about the project as well as honest discussions about the female body and body image.
event195,Naked Yoga,,,,Pleasure House | Site E,"Thursday, Friday","Come over to The Pleasure House and join us for some refreshing dose of Naked Yoga with our resident yoga instructor, The Love Warrior."
event196,Nightmare Bar,,,Y,"The Consortium’s Bar | Site 135, 136, 137, 138, 139","Wednesday, Thursday, Friday, Saturday","Consortium brings you sppoky delights to fuel your shenanigans after the sun goes down. After dark, our bar features a more hardy cocktail for the evening (also changing everyday) and whichever brews that are placed on tap, plus a shot for burn night."
event197,Night of the Flaming Carnies,Y,,,"Capn Nemo’s Flaming Carnival | Site 56, 57, 58, 59","Wednesday, Thursday","The flames come out at sunset. Join us in the ever increasingly cozy space between the grassy ground and the burning sky that we call home, at Capn Nemo's."
event198,Non-Alcoholic Fizzes and Juice!,,,,"The Consortium’s Bar | Site 135, 136, 137, 138, 139","Wednesday, Thursday, Friday, Saturday","Booze not your thing? No matter the reason why, we have you covered. We have a variety of juices available as well as artisan sparkling water. Our flavorings come from a large variety of simple syrups."
event199,Now That's What I call The Phase - Vol. 1,,,Y,The Phase | Site 69,Friday,Come steep yourself in nostalgia as we rest on the laurels of a few of our good hits and a ton of needless filler you will skip through on playback. It worked for The Eagles
event200,Odditorium Mask Making Workshop,,,,"Odditorium | Site 19, 20, 21","Thursday, Friday",Come join the odditorium gang and I for a mask making workshop. Use traditional techniques to design and create a custom leather masquerade mask. Create yer own wearable piece of Halloween art and we’ll talk a little about the history and significance of masks. Bring yer own pattern or modify one of ours. Please come early as this is a time intensive art project to make sure u have time to finish.
